"zip_code","lat","lon"
"00956",18.3652,-66.1614
"00957",18.3675,-66.1803
"00958",18.3792,-66.1731
"00959",18.3924,-66.1558
"00960",18.3927,-66.1547
"00961",18.4071,-66.1593
"00962",18.4383,-66.1272
"00963",18.4412,-66.119
"00965",18.4287,-66.1122
"00966",18.3986,-66.1128
"00968",18.4051,-66.1033
"00969",18.3652,-66.1069
"00970",18.3571,-66.1144
"00971",18.355,-66.1105
"00972",18.11,-65.8183
"00974",18.2455,-66.3108
"00975",18.4271,-66.051
"00976",18.3651,-66.0201
"00977",18.4367,-66.1234
"00978",18.3785,-65.9996
"00979",18.436,-66.0165
"00981",18.4389,-65.9942
"00982",18.411,-65.9893
"00983",18.4164,-65.9717
"00984",18.41,-65.9773
"00985",18.3912,-65.9622
"00986",18.3798,-65.9561
"00987",18.3761,-65.9753
"00988",18.3917,-65.9755
"00996",18.3095,-66.0898
"01001",42.0656,-72.623
"01002",42.3749,-72.5086
"01003",42.3872,-72.526
"01004",42.3695,-72.5333
"01005",42.4109,-72.1086
"01007",42.2787,-72.4037
"01008",42.1687,-72.9277
"01009",42.2124,-72.3451
"01010",42.1216,-72.2066
"01011",42.2891,-72.9638
"01012",42.3844,-72.8462
"01013",42.1578,-72.603
"01014",42.1456,-72.6082
"01020",42.1748,-72.5762
"01021",42.1585,-72.5853
"01022",42.1945,-72.5523
"01026",42.4626,-72.921
"01027",42.271,-72.672
"01028",42.0654,-72.5085
"01029",42.1706,-73.0418
"01030",42.0738,-72.6733
"01031",42.3156,-72.1814
"01032",42.4398,-72.7994
"01033",42.254,-72.5293
"01034",42.0771,-72.9394
"01035",42.3567,-72.572
"01036",42.0615,-72.4259
"01037",42.3638,-72.2016
"01038",42.3763,-72.6094
"01039",42.4275,-72.6688
"01040",42.2039,-72.6228
"01041",42.208,-72.6094
"01050",42.2404,-72.879
"01052",42.2904,-72.8399
"01053",42.3543,-72.7017
"01054",42.4525,-72.501
"01056",42.1695,-72.4802
"01057",42.0925,-72.3147
"01059",42.411,-72.5306
"01060",42.3253,-72.6361
"01061",42.3215,-72.6272
"01062",42.3222,-72.6758
"01063",42.3165,-72.6382
"01066",42.4112,-72.6158
"01068",42.3523,-72.046
"01069",42.1746,-72.3216
"01070",42.5187,-72.9241
"01071",42.1892,-72.8606
"01072",42.4735,-72.4089
"01073",42.2345,-72.7208
"01074",42.3843,-72.0985
"01075",42.2387,-72.5789
"01077",42.0564,-72.765
"01079",42.1878,-72.3316
"01080",42.1798,-72.3654
"01081",42.0638,-72.223
"01082",42.261,-72.2455
"01083",42.2129,-72.2049
"01084",42.3964,-72.8854
"01085",42.1321,-72.7468
"01086",42.1142,-72.748
"01088",42.3849,-72.6326
"01089",42.1179,-72.6276
"01090",42.1062,-72.6219
"01092",42.2121,-72.2397
"01093",42.4449,-72.6356
"01094",42.3536,-72.142
"01095",42.1322,-72.4312
"01096",42.426,-72.781
"01097",42.1607,-72.824
"01098",42.401,-72.9405
"01101",42.1063,-72.5974
"01102",42.1061,-72.5974
"01103",42.1034,-72.5888
"01104",42.1311,-72.5732
"01105",42.103,-72.5801
"01106",42.05,-72.5599
"01107",42.1193,-72.608
"01108",42.0872,-72.5623
"01109",42.1147,-72.5509
"01111",42.1178,-72.5479
"01115",42.1027,-72.5907
"01116",42.0558,-72.5543
"01118",42.0958,-72.527
"01119",42.1252,-72.5107
"01125",42.3278,-71.0577
"01128",42.0961,-72.4901
"01129",42.1201,-72.4913
"01138",42.0871,-72.5633
"01139",42.1126,-72.5606
"01144",42.1024,-72.5901
"01151",42.1566,-72.5028
"01152",42.1545,-72.514
"01180",42.4762,-71.0734
"01199",42.1206,-72.6051
"01201",42.4504,-73.2542
"01202",42.4494,-73.2487
"01203",42.4494,-73.2487
"01220",42.6202,-73.1201
"01222",42.0591,-73.3153
"01223",42.3002,-73.0958
"01224",42.507,-73.1969
"01225",42.5609,-73.151
"01226",42.4722,-73.1619
"01227",42.4729,-73.1641
"01229",42.2874,-73.3433
"01230",42.1937,-73.3349
"01235",42.4289,-73.0843
"01236",42.2571,-73.3651
"01237",42.5402,-73.2335
"01238",42.3026,-73.2429
"01240",42.3669,-73.2813
"01242",42.3347,-73.2454
"01243",42.3489,-73.0131
"01244",42.1042,-73.2806
"01245",42.1793,-73.2141
"01247",42.7003,-73.1024
"01251",42.432,-71.0261
"01252",42.1972,-73.4368
"01253",42.2017,-73.0939
"01254",42.3747,-73.3678
"01255",42.1133,-73.119
"01256",42.5682,-73.007
"01257",42.1072,-73.3577
"01258",42.148,-73.4343
"01259",42.0824,-73.2525
"01260",42.2741,-73.2792
"01262",42.2953,-73.3178
"01263",42.2801,-73.3112
"01264",42.2454,-73.2035
"01266",42.3347,-73.3729
"01267",42.6978,-73.2253
"01270",42.501,-73.0042
"01284",42.6134,-71.3573
"01286",42.2393,-71.1089
"01301",42.6032,-72.6028
"01302",42.5875,-72.5978
"01330",42.5332,-72.8122
"01331",42.5888,-72.2219
"01337",42.6743,-72.5504
"01338",42.5835,-72.7993
"01339",42.6448,-72.8689
"01340",42.6736,-72.7077
"01341",42.5147,-72.6941
"01342",42.5459,-72.6043
"01343",42.6516,-72.9748
"01344",42.5909,-72.4526
"01346",42.6508,-72.8284
"01347",42.5577,-72.5164
"01349",42.5778,-72.4945
"01350",42.7216,-72.9491
"01351",42.5355,-72.5301
"01354",42.6297,-72.5196
"01355",42.4997,-72.3308
"01360",42.6962,-72.4552
"01363",42.6675,-71.5651
"01364",42.5878,-72.2929
"01366",42.4856,-72.1915
"01367",42.6941,-72.899
"01368",42.6494,-72.1545
"01370",42.6003,-72.7403
"01373",42.4801,-72.6107
"01375",42.4537,-72.5657
"01376",42.6002,-72.5553
"01378",42.6735,-72.3416
"01379",42.5476,-72.3972
"01380",42.596,-72.3595
"01420",42.5803,-71.8057
"01430",42.6412,-71.9221
"01431",42.6776,-71.8205
"01432",42.5598,-71.5763
"01434",42.5388,-71.6196
"01436",42.6091,-72.0752
"01438",42.5624,-72.0371
"01440",42.5732,-71.9892
"01441",42.5574,-71.916
"01450",42.6031,-71.5662
"01451",42.4967,-71.5685
"01452",42.475,-72.0069
"01453",42.5282,-71.7542
"01460",42.541,-71.4757
"01462",42.5946,-71.726
"01463",42.6668,-71.5854
"01464",42.5618,-71.6569
"01467",42.4927,-71.6157
"01468",42.5551,-72.0647
"01469",42.6654,-71.703
"01470",42.6231,-71.5839
"01471",42.622,-71.5874
"01472",42.6028,-71.6274
"01473",42.5474,-71.9164
"01474",42.6839,-71.746
"01475",42.6791,-72.045
"01500",42.3023,-71.3325
"01501",42.199,-71.8441
"01503",42.3852,-71.6413
"01504",42.0176,-71.531
"01505",42.3402,-71.7273
"01506",42.2134,-72.0978
"01507",42.138,-71.9701
"01508",42.1471,-71.989
"01509",42.138,-71.9701
"01510",42.4181,-71.6826
"01515",42.2256,-72.0479
"01516",42.0754,-71.7314
"01518",42.1162,-72.1129
"01519",42.1985,-71.689
"01520",42.3375,-71.8436
"01521",42.0548,-72.162
"01522",42.3689,-71.871
"01523",42.467,-71.6764
"01524",42.2349,-71.9166
"01525",42.1041,-71.6524
"01526",42.0894,-71.7644
"01527",42.1991,-71.7682
"01529",42.0256,-71.5819
"01531",42.3166,-72.1257
"01532",42.3165,-71.6499
"01534",42.1535,-71.6546
"01535",42.2718,-72.0811
"01536",42.2315,-71.6989
"01537",42.1681,-71.8884
"01538",42.0972,-71.6446
"01540",42.115,-71.865
"01541",42.4392,-71.8869
"01542",42.195,-71.9053
"01543",42.3758,-71.9524
"01545",42.2841,-71.7213
"01546",42.292,-71.7461
"01550",42.0717,-72.0347
"01556",42.1279,-72.0529
"01560",42.1722,-71.6838
"01561",42.445,-71.684
"01562",42.2478,-71.9901
"01564",42.4379,-71.7547
"01566",42.1089,-72.0816
"01568",42.1725,-71.6172
"01569",42.0673,-71.6288
"01570",42.0498,-71.8681
"01571",42.0455,-71.9095
"01574",42.1212,-71.5171
"01581",42.2724,-71.6136
"01583",42.3576,-71.7887
"01585",42.2402,-72.1484
"01586",42.1906,-71.7618
"01588",42.122,-71.6603
"01590",42.1439,-71.7337
"01601",42.2628,-71.8024
"01602",42.2732,-71.8392
"01603",42.2463,-71.8366
"01604",42.2562,-71.7754
"01605",42.2843,-71.7896
"01606",42.3123,-71.7957
"01607",42.231,-71.7948
"01608",42.2638,-71.8011
"01609",42.2721,-71.8134
"01610",42.2463,-71.8103
"01611",42.2364,-71.8747
"01612",42.3051,-71.9148
"01613",42.2664,-71.7953
"01614",42.2631,-71.8015
"01615",42.295,-71.7736
"01640",42.5161,-71.5097
"01652",42.256,-71.9574
"01653",42.2919,-71.7809
"01655",42.2782,-71.7592
"01701",42.3167,-71.429
"01702",42.2865,-71.4226
"01703",42.3,-71.4322
"01704",42.278,-71.4188
"01705",42.3284,-71.4032
"01718",42.5193,-71.4291
"01719",42.4899,-71.5115
"01720",42.486,-71.442
"01721",42.2592,-71.4638
"01730",42.493,-71.273
"01731",42.457,-71.2766
"01733",42.4094,-71.3441
"01740",42.4318,-71.602
"01741",42.529,-71.3454
"01742",42.4551,-71.3745
"01745",42.2949,-71.5043
"01746",42.1963,-71.4388
"01747",42.1232,-71.535
"01748",42.2244,-71.5279
"01749",42.3914,-71.5623
"01752",42.3499,-71.5434
"01754",42.4338,-71.4527
"01756",42.1053,-71.5528
"01757",42.1479,-71.5174
"01760",42.2912,-71.3578
"01770",42.2308,-71.3691
"01772",42.2867,-71.5259
"01773",42.4224,-71.3087
"01775",42.4253,-71.5047
"01776",42.3841,-71.4248
"01778",42.3547,-71.3573
"01784",42.2376,-71.5627
"01801",42.4935,-71.1483
"01803",42.5086,-71.1993
"01805",42.4865,-71.2056
"01810",42.6547,-71.1579
"01812",42.6483,-71.1832
"01813",42.5059,-71.1257
"01815",42.5059,-71.1257
"01816",41.6761,-71.6773
"01819",42.6444,-71.1329
"01821",42.5534,-71.2576
"01822",42.5575,-71.268
"01824",42.5973,-71.351
"01825",42.6384,-71.2978
"01826",42.6717,-71.3188
"01827",42.6705,-71.4952
"01830",42.7835,-71.0736
"01831",42.7738,-71.0819
"01832",42.781,-71.1052
"01833",42.7294,-70.9872
"01834",42.7501,-71.022
"01835",42.7588,-71.0937
"01840",42.7078,-71.1615
"01841",42.7114,-71.1677
"01842",42.7066,-71.1658
"01843",42.6883,-71.1595
"01844",42.7305,-71.1736
"01845",42.6741,-71.108
"01850",42.6568,-71.3035
"01851",42.629,-71.3361
"01852",42.6352,-71.2983
"01853",42.6482,-71.3138
"01854",42.6478,-71.3384
"01860",42.8372,-71.0056
"01862",42.5725,-71.2935
"01863",42.6368,-71.385
"01864",42.5773,-71.0963
"01865",42.528,-71.257
"01866",42.5351,-71.2368
"01867",42.5248,-71.109
"01876",42.6021,-71.2227
"01879",42.6732,-71.4134
"01880",42.5028,-71.0688
"01883",42.7399,-70.9647
"01885",42.714,-71.0647
"01886",42.5833,-71.4295
"01887",42.5578,-71.1694
"01888",42.5064,-71.1259
"01889",42.5715,-71.1097
"01890",42.4508,-71.1426
"01899",42.6483,-71.1832
"01901",42.462,-70.9473
"01902",42.4681,-70.9414
"01903",42.4646,-70.9462
"01904",42.4862,-70.9631
"01905",42.4629,-70.972
"01906",42.4596,-71.0099
"01907",42.4782,-70.9083
"01908",42.4259,-70.9221
"01910",42.4547,-70.9745
"01913",42.8553,-70.9371
"01915",42.5569,-70.8786
"01921",42.6809,-71.0179
"01922",42.7537,-70.9342
"01923",42.569,-70.9423
"01929",42.6325,-70.7809
"01930",42.6202,-70.6701
"01931",42.6143,-70.6632
"01936",42.6227,-70.8541
"01937",42.586,-70.971
"01938",42.6802,-70.8426
"01940",42.5256,-71.0269
"01944",42.5764,-70.7633
"01945",42.4993,-70.863
"01949",42.597,-71.0135
"01950",42.8121,-70.8769
"01951",42.7746,-70.8371
"01952",42.85,-70.8517
"01960",42.5349,-70.9562
"01961",42.5383,-70.9486
"01965",42.5586,-70.8268
"01966",42.6576,-70.6197
"01969",42.7202,-70.8931
"01970",42.5161,-70.8994
"01971",42.5217,-70.8929
"01982",42.6152,-70.8448
"01983",42.6377,-70.9507
"01984",42.6051,-70.8861
"01985",42.7896,-70.9704
"02008",47.6741,-117.2079
"02018",42.1752,-70.8876
"02019",42.0691,-71.4751
"02020",42.0914,-70.6466
